zi,u_id,traditional,pinyin,strokes,meaning,notes,is_active,category,sub_category,is_radical,zi_count,ts,alias
乌,363,,wū,4,dark,,Y,数理-颜色,,,2,,
乍,384,,zhà,5,suddenly,,Y,概念-,,,15,,
乎,410,,hū,5,,,Y,,,,3,,
乐,289,,"lè,yuè",5,glad / music,,Y,社会-,music,,2,,
乙,7,,yǐ,1,second,九 乞,Y,数理-天干,,Y,14,2024-07-07 17:02:47,乚乛
乚,8,,yǐ,1,second,乩 乱,Y,radical,,Y,8,,
乛,266,,yǐ,1,second,,Y,radical,,Y,3,2024-02-18 20:44:01,⺂
九,310,,jiǔ,2,Nine,,Y,数理-计算,number,,21,,
乞,302,,qǐ,3,beg,,Y,社会-,,,5,,
也,381,,yě,3,also / too,,Y,概念-,,,17,,
习,288,,xí,3,study / practice,,Y,社会-,education,,1,,
亅,9,,jué,1,hook,了 争 事,Y,radical,,Y,1,,
了,263,,le,2,,,Y,概念-,,,5,,
二,10,,èr,2,two,亍 于 云 五 亚,Y,数理-计算,number,,17,,
亍,423,,chu,3,right foot / step,,Y,,,Y,,,
于,377,,yú,3,at / in / to,,Y,概念-,,,18,,
亏,346,,kuī,3,deficit,,Y,概念-,,,12,,
云,274,,yún,4,cloud,,Y,天文-,,,17,,
五,316,,wǔ,4,five,,Y,数理-计算,number,,2,,
井,278,,jǐng,4,well,,Y,天文-水,,,12,,
亠,11,,tóu,2,lid head,亡 亢 交 产 京,Y,radical,,Y,27,,
亡,337,,wáng,3,die / escape,,Y,概念-,,,20,,
亢,372,,kàng,4,overbearing,,Y,概念-,,,21,,
交,331,,jiāo,6,cross / pay / deliver / meet,,Y,概念-,,,28,,
人,12,,rén,2,person,众丛,Y,人-,human,Y,142,2024-07-07 17:02:13,
亻,13,,rén,2,person,你 他 仕 仙 例,Y,人-,human,Y,212,2024-07-07 17:02:20,人
今,319,,jīn,4,today / present / current,,Y,数理-时空,time,,25,,
介,374,,jiè,4,introduce / between,,Y,概念-,,,20,,
仓,284,,cāng,4,barn / warehouse,,Y,人-生理,food,,8,,
令,290,,"líng,lǐng,lìng",5,order / command,,Y,社会-,order,,24,,
以,411,,yǐ,4,use / by / with,,Y,,,,3,,
佥,391,,qiān,7,all,,Y,,,,9,,
儿,14,,rén,2,child / legs,兀 元 兄 先 克,Y,人-伦理,family,Y,14,2024-03-02 17:11:33,
元,311,,yuán,4,first,,Y,数理-计算,number,,18,,
兄,283,,xiōng,5,Brother,,Y,人-生理,family,,7,,
入,15,,rù,2,enter,內 全 氽,Y,概念-,,Y,5,,
八,16,,bā,2,eight,兮 公  兴,Y,数理-计算,number,Y,34,,
公,298,,gōng,4,public / male,,Y,社会-,,,11,,
六,315,,liù,4,six,,Y,数理-计算,number,,3,,
兰,412,,lán,5,orchis,,Y,植物-,flower,,3,,
共,297,,gòng,6,common / share,,Y,社会-,,,20,,
其,371,,qí,8,that / such,,Y,概念-,,,22,,
兼,368,,jiān,10,simultaneous,,Y,概念-,,,29,,
冂,18,,jiōng,2,down box,内 冋 再 冏 最,Y,radical,,Y,21,,
内,322,,nèi,4,"inner, inside",,Y,数理-时空,location,,13,,
冈,277,,gāng,4,ridge,,Y,地理-,,,4,,
冖,19,,mì,2,cover,写 军 农 冠 幂,Y,radical,,Y,37,,
冫,20,,bīng,2,ice cold winter,冰 冷  况 冼 凊 寒,Y,天文-水,,Y,27,2024-07-07 17:01:31,仌
冬,325,,dōng,5,winter,,Y,数理-时空,time,,6,,
几,21,,jǐ,2,table,凡 凤,Y,社会-,,Y,27,2024-02-11 21:23:37,
凵,22,,qiǎn,2,open box,凶 凸 凹 出 击,Y,radical,,Y,7,,
凶,354,,xiōng,4,fierce / terrible,,Y,概念-,,,4,,
出,333,,chū,5,out / vent,,Y,概念-,,,24,,
击,308,,jī,5,hit,,Y,社会-,military,,1,,
刀,25,,dāo,2,knife,刅 分 切,Y,社会-,tool,Y,64,2024-07-07 16:59:33,
刁,24,,dāo,2,knife,,Y,社会-,tool,,1,,
刂,23,,dāo,2,knife,划 刻 刚 分 割 削 剪 ,Y,社会-,tool,Y,43,2024-07-07 16:59:38,刀
刃,292,,rèn,3,blade / edge,,Y,社会-,tool,,16,,
分,330,,fēn,4,fraction / divide,,Y,概念-,,,30,,
刍,401,,chú,5,graze,,Y,,,,6,,
力,26,,lì,2,strength / power,劝 办 加 务 动,Y,概念-,,Y,69,,
办,414,,bàn,4,manage / run / setup,,Y,,,,2,,
勹,27,,bāo,2,wrap / embrace,勺 勾 匀 包,Y,radical,,Y,18,2024-02-11 21:25:15,
勺,291,,sháo,3,spoon,,Y,社会-,tool,,22,,
勾,293,,"gōu,gòu",4,hook,,Y,社会-,tool,,4,,
勿,347,,wù,4,do not,,Y,概念-,,,11,,
匀,309,,yún,4,even,,Y,社会-,org,,1,,
包,296,,bāo,5,Bag / pack,,Y,社会-,tool,,23,,
匕,28,,bǐ,2,dagger,化 北 匙,Y,社会-,military,Y,26,,
北,323,,běi,5,north,,Y,数理-时空,location,,8,,
匚,29,,fāng,2,right open box / square container,匛 匤 匡 匢 匜,Y,社会-,tool,Y,24,2024-02-11 21:27:24,
匸,30,,xì,2,hiding enclosure,匹 区 医 匼,Y,radical,,Y,6,,
匹,362,,pǐ,4,"mate, one of a pair
",,Y,数理-度量,,,1,,
区,299,,qū,4,district,,Y,社会-,org,,9,,
十,31,,shí,2,ten,千 升 午 半,Y,数理-计算,number,Y,59,,
千,312,,qiān,3,thousand,,Y,数理-计算,number,,12,,
升,355,,shēng,4,rise / lift,,Y,概念-,,,2,,
午,326,,wǔ,4,noon,,Y,数理-时空,time,,6,,
半,344,,bàn,5,half,,Y,概念-,,,13,,
卜,32,,bǔ,2,divination,卟 占 卡 卢 卤,Y,概念-,,Y,20,,
占,364,,zhàn,5,occupy,,Y,社会-,,,35,,
卤,241,鹵,lǔ,7,brine / salt,,Y,radical,,Y,,2024-02-18 20:35:05,
卩,33,,jié,2,seal/joint,卫 卬 卯 印 却,Y,社会-,,Y,10,2024-07-07 19:26:32,㔾
厂,35,,hǎn,2,yard / factory,厄 厅 历 厉,Y,社会-,factory,Y,45,2024-02-11 21:30:59,
厶,36,,mǒu/sī,2,private secret,云 允 公 去 县 参,Y,概念-,,Y,25,,
去,383,,qù,5,go / leave,,Y,概念-,,,16,,
又,37,,yòu,2,right hand / again,叉 友 双 发 受,Y,人-生理,hand,Y,73,2024-02-18 20:13:49,
叉,294,,"chā,chá,chǎ,chà",3,fork / cross,,Y,社会-,tool,,4,,
及,382,,jí,3,and / reach,,Y,概念-,,,17,,
友,306,,yǒu,4,friend,,Y,社会-,org,,2,,
口,38,,kǒu,3,mouth / opening,吃 叹 品 吵 叫,Y,人-生理,mouth,Y,335,,
古,318,,gǔ,5,ancient,,Y,数理-时空,time,,27,,
句,366,,"gòu,jù",5,sentence,,Y,社会-,,,34,,
只,358,,zhǐ,5,Only / single,,Y,数理-度量,,,17,,
可,375,,"kě,kè",5,can / approve,,Y,概念-,,,20,,
台,295,,"tāi,tái",5,table / stage,,Y,社会-,tool,,25,,
各,365,,gè,6,each,,Y,概念-,,,35,,
合,367,,hé,6,combine / fit /agree,,Y,概念-,,,33,,
吉,335,,jí,6,lucky,,Y,概念-,,,23,,
向,328,,xiàng,6,direction,,Y,数理-时空,location,,4,,
员,303,,yuán,7,member,,Y,社会-,org,,4,,
呙,402,,guō,7,,,Y,,,,5,,
咸,378,,xián,9,corned / salty,,Y,概念-,,,18,,
囗,39,,wéi,3,enclosure / boundary,围 团 国 囚 困,Y,数理-时空,location,Y,36,2024-02-11 21:31:34,
四,314,,sì,5,Four,,Y,数理-计算,number,,5,,
囟,398,,xìn,6,skull,,Y,,,,7,,
土,40,,tǔ,3,earth / soil,在 地 城 地 型,Y,天文-土,,Y,199,,
坙,280,,jīng,7,Bleak,,Y,植物-,,,20,2025-01-25 21:20:41,
士,41,,shì,3,soldier / scholar,壮 仕 壬 声 志,Y,社会-,soldier,,24,,
夂,42,,zhǐ,3,go,处 复 备 冬,Y,radical,,Y,19,,
夆,399,,féng,7,,,Y,,,,7,,
夊,43,,suī,3,go slowly,夌 复 変,Y,radical,,Y,8,,
夕,44,,xī,3,night / sunset,外 多 夜 夠,Y,天文-,,Y,18,,
大,45,,dà,3,big,天 太 夫 央 头,Y,概念-,,Y,62,,
天,275,,tiān,4,sky / heaven,,Y,天文-,,,9,,
太,356,,tài,4,very / extremely,,Y,概念-,,,2,,
夫,282,,fū,4,husband,,Y,人-生理,family,,30,,
央,320,,yāng,5,center,,Y,数理-时空,location,,16,,
失,336,,shī,5,lose,,Y,概念-,,,21,,
头,285,,tóu,5,head,,Y,人-生理,head,,2,,
奂,403,,huàn,7,excellent,,Y,,,,5,,
奉,404,,fèng,8,give with respect / believe,,Y,,,,5,,
女,46,,nǚ,3,woman / female,妈 好 始 姓 安,Y,人-,human,Y,260,,
子,47,,zǐ,3,child / son / seed,孔 字 季 学 孩,Y,人-伦理,family,Y,33,,
孚,388,,fú,7,trust,,Y,,,,12,,
宀,48,,mián,3,roof shelter protection,家 室 宁 它 安 定 容 宝 ,Y,社会-,housing,Y,91,,
宁,348,,"níng,nìng",5,rather / peaceful,,Y,概念-,,,11,,
它,386,,tā,5,it,,Y,动物-,,,14,,
寸,49,,cùn,3,inch,对 寺 寻 寿 导,Y,数理-度量,,Y,37,,
小,50,,xiǎo,3,small / insignificant / less / few,少 尔,Y,概念-,,Y,22,2024-07-07 17:05:15,
少,340,,"shǎo,shào",4,young / few / little,,Y,概念-,,,16,,
尚,376,,shàng,8,yet / value,,Y,概念-,,,20,,
尢,53,,wāng,3,lame,尤 尧 就 尴 尬,Y,概念-,,Y,1,2024-07-07 19:27:33,尣
尤,389,,yóu,4,outstanding,,Y,概念-,,,12,,
尧,392,,yáo,6,,,Y,,,,9,,
尸,54,,shī,3,corpse,尼 尽 局 居 层,Y,人-生理,body,Y,39,,
尺,361,,"chě,chǐ",4,rule,,Y,数理-度量,,,2,,
尼,400,,ní,5,Buddhist nun,,Y,,,,7,,
屮,55,,chè,3,sprout,屯 屰,Y,radical,,Y,7,,
屯,379,,tún,4,village,,Y,社会-,org,,18,,
屰,269,,nì,6,opposite,,Y,概念-,,,8,,
山,56,,shān,3,mountain / hill,岀 峰 岁 岛 岳,Y,地理-,,Y,98,,
巛,58,,chuān,3,river,巡 巢,Y,天文-水,,Y,5,2024-02-11 21:47:13,
川,57,,chuān,3,river,州,Y,地理-,,Y,13,2024-02-11 21:47:03,
工,59,,gōng,3,work,左 巧 巩 巫,Y,社会-,,Y,33,,
巨,345,,jù,4,huge,,Y,概念-,,,13,,
己,60,,jǐ,3,self,纪 记 忌 改,Y,人-生理,self,Y,21,,
巴,380,,bā,4,,,Y,概念-,,,18,,
巾,61,,jīn,3,towel,巿 币 市 师,Y,社会-,cloth,Y,87,,
市,307,,shì,5,city,,Y,社会-,org,,2,,
布,286,,bù,5,fabric / cloth,,Y,社会-,clothing,,3,,
干,62,,gān/gàn,3,dry / do,平 年 并 幸,Y,社会-,,Y,35,2024-02-12 07:39:45,
平,349,,píng,5,flat / level / calm,,Y,概念-,,,11,,
并,385,,bìng,6,side-by-side / and / merge,,Y,概念-,,Y,15,2025-01-25 22:17:14,
幷,405,,"bìng,bīng",8,and,,Y,,,,5,2025-01-25 22:20:56,
幺,63,,yāo,3,youngest / small,幻 幼 幽,Y,概念-,,Y,8,,
广,64,,guǎng,3,shelter / wide,座 庄 床 店,Y,概念-,,Y,71,,
庄,305,,zhuāng,6,village,,Y,社会-,org,,3,,
廴,65,,yǐn,3,stride / structure,延 廷 建,Y,概念-,,Y,5,,
廾,66,,gǒng,3,hands joined,开 异 弃 弄,Y,概念-,,Y,22,,
开,413,,kāi,4,open / start,,Y,,,,3,,
弋,67,,yì,3,shoot with a bow,式 弑,Y,社会-,soldier,Y,10,,
弓,68,,gōng,3,bow,弟 引 张 弘 弯,Y,社会-,tool,Y,36,,
彐,69,,jì,3,snout,归 当 录,Y,radical,,Y,13,2024-07-07 19:28:37,彑
彑,70,,jì,3,snout,彖,Y,radical,,Y,3,,
彡,71,,shān,3,hair / ornament,形 彦 彩 影,Y,人-生理,hair,Y,31,2024-02-18 20:00:42,毛
彳,72,,chì,3,"step walking, movement, and progress",行 徐 律 很 往 徘徊 彷徨 彳亍chichu,Y,概念-,,Y,45,,
心,74,,xīn,4,heart / mind,必  忘,Y,人-生理,mind,Y,210,2024-07-07 16:58:56,
忄,73,,xīn,3,mental / feeling,忙 快 忆,Y,人-生理,mind,Y,113,2024-02-18 19:59:20,心
必,370,,bì,5,must,,Y,概念-,,,24,,
戈,75,,gē,4,spear,我 成 戒 战 或,Y,社会-,tool,Y,40,,
戋,352,,jiān,5,constricted / small,,Y,概念-,,,8,,
戶,77,,hù,4,door,所,Y,社会-,housing,,10,2024-07-07 16:58:39,户
户,76,,hù,4,door / house,房 扁 扇 扉,Y,社会-,housing,Y,13,,
手,79,,shǒu,4,hand,拿,Y,人-生理,hand,Y,136,2024-07-07 16:58:11,
扌,78,,shǒu,3,hand,扔 扬 扛 扱 抱,Y,人-生理,hand,Y,260,2024-02-18 19:59:42,手
才,287,,cái,3,ability,,Y,社会-,education,,11,,
支,80,,zhī,4,branch,攰 攱 攲,Y,概念-,,Y,27,,
攴,81,,pū,4,tap/beat,,Y,概念-,,Y,3,,
攵,82,,pū,4,tap beat,攻 收 改 政 故 敌 放 教 ,Y,概念-,,Y,97,2024-07-07 16:57:55,攴 
文,83,,wén,4,script / literature,齐 斌 斑 斓 斋,Y,社会-,culture,Y,21,,
斗,84,鬥,"dǒu, dou",4,vessel / struggle,料 斛 斟 斜,Y,数理-度量,,Y,19,,
斤,85,,jīn,4,axe / pound,斧 断 斯 新 斩,Y,数理-度量,,Y,34,,
斥,415,,chì,5,blame,,Y,,,,2,,
方,86,,fāng,4,square,施 旁 旋 旅 旗,Y,数理-时空,location,Y,32,,
无,87,,wú,4,not / none,芜,Y,天文-,,Y,2,,
旡,88,,jì,4,choke on something eaten,既,Y,天文-,,,3,,
日,89,,rì,4,sun / day / time,时 早 明 是 晩,Y,天文-日,,Y,142,2024-03-02 21:13:33,
旦,273,,dàn,5,dawn,,Y,天文-,,,20,,
易,334,,yì,8,easy / change,,Y,概念-,,,24,,
曰,90,,yuē,4,say,曲 更 曾,Y,人-生理,mouth,,18,,
曲,304,,qǔ,6,song / tune / crook,,Y,社会-,music,,4,,
月,166,,Ròu / yuè,4,meat / moon / month,肖 肘 肚 服 朋 青 朝 明,Y,"天文-月, 人-生理",flesh,Y,156,2024-03-02 21:11:31,肉
木,94,,mù,4,tree / wood / plant,森 林  本,Y,天文-木,,Y,511,,
朩,93,,mù,4,tree,相 根,Y,天文-木,,,1,2024-07-07 16:57:24,木
未,350,,wèi,5,not yet,,Y,概念-,,,10,,
末,353,,mò,5,end,,Y,概念-,,,7,,
本,279,,běn,5,origin / this / basis,,Y,天文-木,,,2,,
术,300,,shù,5,Technique / art,,Y,社会-,technology,,8,,
柬,393,,jiǎn,9,card / note /letter,,Y,,,,9,,
欠,95,,qiàn,4,lack owe yawn,次 欢 欣 歆 欲 歌 ,Y,概念-,,Y,72,,
止,96,,zhǐ,4,stop,正 此 步 武 歧,Y,人-生理,foot,Y,32,,
正,342,,zhēng,5,just / straight / correct,,Y,概念-,,,14,,
歹,97,,dǎi,4,death / decay,死 歾 殃 殉 殆,Y,概念-,,Y,34,,
殳,98,,shū,4,weapon spear ,段 殷 殴,Y,社会-,weapong,Y,48,,
毋,422,,wu2,4,no,,Y,概念-,,Y,,,
母,99,,mǔ,5,mother,每 毒,Y,人-生理,family,Y,8,,
比,100,,bǐ,5,compare / compete,毕 庇 毙,Y,概念-,,Y,20,,
毛,101,,máo,4,hair / fur,毫 毡 笔 毯 毫,Y,人-生理,hair,Y,26,2024-07-07 16:57:05,
氏,102,,shì,4,clan,民 氓,Y,社会-,org,Y,15,,
气,103,,qì,4,gas / steam / breath,氲 氧 氢,Y,天文-,,Y,25,,
水,105,,shuǐ,4,water / liquid,永,Y,天文-水,,Y,215,,
氵,104,,shuǐ,3,water,海 河 湖 江 洗 泳,Y,天文-水,,Y,375,2024-07-07 17:04:20,水
氺,106,,shuǐ,5,water,承,Y,天文-水,,,,2024-07-07 17:04:40,水
火,107,,huǒ,4,fire,灯 炎,Y,天文-火,,Y,133,,
灬,108,,huǒ,4,fire,热 点 然,Y,天文-火,,Y,19,2024-07-07 16:56:08,火
爪,109,,zhǎo,4,claw,爬,Y,动物-,,Y,6,,
爫,110,,zhuǎ,4,claw,爱,Y,radical,,Y,10,,
父,111,,fù,4,father,爷 爸,Y,人-生理,family,Y,5,,
爻,112,,yáo,4,lines on a trigram,爼 爽,Y,概念-,,,7,,
爿,113,,pán,4,half of a tree trunk,牀,Y,天文-木,,,11,,
片,114,,qiáng,4,slice,版 牌,Y,数理-度量,,Y,9,,
牙,115,,yá,4,tooth,邪,Y,人-生理,tooth,Y,15,,
牛,116,,niú,4,cow,牟,Y,动物-,mammal,,12,,
牜,117,,niú,4,cow,牤 牧 物 牲,Y,动物-,mammal,,39,2024-07-07 19:33:05,牛
犬,120,,quǎn,4,dog,哭吠,Y,动物-,mammal,Y,24,,
犭,119,,quǎn,3,animal,犯 犷 狂 狗,Y,动物-,mammal,Y,92,2025-01-25 22:01:56,
玄,121,,xuán,5,profound,率 玆,Y,概念-,,,9,,
玉,123,,yù,5,jade,珍 现 琴 莹 玺,Y,地理-,jade,,62,,
王,122,,wáng,4,king,珍 现 琴 莹 玺,Y,社会-,order,,107,2024-07-07 16:55:34,玉
瓜,124,,guā,5,melon,瓢 瓣,Y,植物-,food,Y,17,,
瓦,125,,wǎ,4,tile,瓶 瓷 瓮,Y,社会-,housing,Y,25,,
甘,126,,gān,5,sweet,甚 甜 某,Y,人-生理,tongue,Y,17,,
生,127,,shēng,5,life,甠 甡 甥,Y,人-生理,living,Y,16,,
用,128,,yòng,5,use,甬 甭 甫,Y,社会-,,,4,,
甫,369,,fǔ,7,just,,Y,,,,29,,
田,129,,tián,5,field,男 甸 画 畅 界,Y,社会-,farming,Y,54,,
由,332,,yóu,5,cause / from / reason,,Y,概念-,,,25,,
甲,387,,jiǎ,5,first,,Y,数理-天干,,,13,2024-03-02 21:18:00,
申,341,,shēn,5,explain / extend,,Y,概念-,,,15,,
电,276,,diàn,5,electricity,,Y,天文-,,,3,,
畏,394,,wèi,9,fear / respect,,Y,,,,9,,
畐,270,,fú,9,full,,Y,概念-,,,15,,
畺,395,,jiāng,13,,,Y,,,,9,,
疋,130,,pǐ,5,foot,胥 疍,Y,社会-,foot,Y,9,,
疒,132,,nè,5,illness sickness disease health,疾 病 疼 痛  疤 疫 疯 癌 ,Y,人-生理,health,Y,124,,
癶,133,,bō,5,unbalanced footsteps,癷 癸 登,Y,社会-,foot,Y,3,,
白,134,,bái,5,white,百 的 皇 皁 皓,Y,数理-颜色,,Y,41,,
皮,135,,pí,5,skin,皱 皲,Y,人-生理,skin,Y,31,,
皿,136,,mǐn,5,dish / receptacle,盂 益 盆 监 盈,Y,社会-,container,Y,40,,
目,137,,mù,5,eye,盯 相 盲 看 眠,Y,人-生理,eye,Y,136,,
矛,138,,máo,5,spear,矜 䂊,Y,社会-,military,Y,12,,
矢,139,,shǐ,5,arrow,矣 知 矩 矫 矬,Y,社会-,military,Y,21,,
石,140,,shí,5,stone,码 破 硌 硏 硬,Y,地理-,,Y,97,,
示,142,,shì,5,spirit,禁 祭,Y,社会-,faith,,16,,
礻,141,,shì,4,"spirit, religion, worship, and spiritual matters",神 福 祸 祝 祥  礼 社 视 禁 ,Y,社会-,faith,,62,2024-07-07 16:55:13,示
禸,143,,róu,4,track,禹 禺 离,Y,radical,location,Y,1,2024-07-07 19:46:08,
禾,144,,hé,5,grain,秀 秋 种 秒 租,Y,植物-,food,Y,116,,
穴,145,,xué,5,cave,穷 究 空 穿 突,Y,社会-,housing,Y,61,,
立,146,,lì,5,stand,站 竞 章 竖 端,Y,人-生理,foot,Y,45,,
竹,148,,zhú,6,bamboo,笑 笛 第 竿 等,Y,植物-,,Y,72,,
米,149,,mǐ,6,rice,粮 类 粉 粤 籽,Y,人-生理,food,Y,71,,
糸,151,,sī,6,silk / relation,系 紧,Y,植物-,,Y,33,,
纟,150,糹,sī,3,silk / thread,红 纪 组,Y,植物-,,Y,317,2024-07-07 19:56:22,糸
缶,152,,fǒu,6,jar,缺 缸 罂,Y,社会-,container,Y,25,,
网,153,,wǎng,6,net,,Y,社会-,tool,Y,3,,
罒,154,,wǎng,5,net surround,罗 罚 罢 罪,Y,社会-,tool,Y,43,,
罓,155,,wǎng,4,net,,Y,社会-,tool,,,,
羊,156,,yáng,6,sheep,群 羚,Y,动物-,mammal,Y,52,,
羽,159,,yǔ,6,feather,翠 翁 耀 翔,Y,动物-,bird,Y,48,,
耂,160,,lǎo,4,old,者 考,Y,概念-,,,3,2024-02-18 20:21:59,老
而,162,,ér,6,and,耍 耐,Y,概念-,,Y,15,,
耒,163,,lěi,6,plaw,耔 耗 耕 耘,Y,社会-,tool,Y,12,,
耳,164,,ěr,6,ear,聊 聆 聒 联 耿,Y,人-生理,ear,Y,46,,
聿,165,,yù,6,brush,肃 肆 肄 肇,Y,社会-,tool,Y,10,,
肉,167,,ròu,6,flesh,腐,Y,人-生理,flesh,Y,70,2024-07-07 16:54:34,
肙,373,,yuàn,7,,,Y,,,,21,,
臣,168,,chén,6,minister,卧 藏,Y,社会-,org,Y,11,,
自,169,,zì,6,oneself / self,臬 臭,Y,人-生理,self,Y,14,,
至,170,,zhì,6,arrive / reach,致 臻,Y,数理-时空,location,Y,20,,
臼,171,,jiù,6,mortar,臾 舀 舂,Y,人-生理,tooth,Y,12,,
舌,172,,shé,6,tongue,舍 舐 舔,Y,人-生理,tongue,Y,24,,
舛,173,,chuǎn,7,contrary,舜,Y,,,,3,,
舟,174,,zhōu,6,boat / ship,航 船 般 舱 舫,Y,社会-,ship,Y,26,,
艮,175,,gèn,6,"mountain, obstacle",良 艰 根 跟,Y,地理-,,Y,24,2024-03-02 10:15:46,
良,338,,liáng,7,good,,Y,概念-,,,20,,
色,176,,sè,6,color,艳,Y,数理-颜色,,Y,4,,
艹,177,,cǎo,3,grass,花 菜 茶 茬 草,Y,植物-,,Y,285,2024-02-18 20:23:41,艸
虍,178,,hū,6,stripes on a tiger,虏 虎 虐 虔 虑,Y,动物-,mammal,Y,19,,
虫,179,,chóng,6,insect,蛇 蚊 蛋 蚤 蚀,Y,动物-,amphibian,Y,204,,
血,180,,xuè,6,blood,恤 衅,Y,人-生理,blood,Y,17,,
行,181,,xíng,6,walk,衍 衔 街,Y,人-生理,foot,,18,,
衣,183,,yī,6,clothes,表 袋  衷,Y,社会-,clothing,Y,85,2024-07-07 16:54:07,
衤,182,,yī,5,"clothing, garments, or fabric",袓  袖 袄 裤 袜 裙 褂 ,Y,社会-,clothing,Y,52,2024-07-07 17:06:48,衣
西,185,,xi,6,west,,Y,数理-时空,location,Y,6,,
覀,184,,yà,6,cover,要 覆 覃,Y,概念-,,,7,,
见,186,見,jiàn,4,see,观 规 觉 览,Y,人-生理,eye,Y,10,,
角,187,,jiǎo,7,horn,解 触,Y,动物-,,Y,37,,
言,189,,yán,7,speech / language,,Y,人-生理,mouth,Y,38,2024-07-07 16:53:40,
讠,188,言,yán,2,speech,说 话  语 议 读   计 讨 记 讲 识,Y,人-生理,mouth,Y,308,2024-02-18 20:24:58,訁
谷,190,,gǔ,7,valley / grain,豁,Y,植物-,food,Y,21,,
豆,191,,dòu,7,bean,豌 豉,Y,植物-,food,Y,21,,
豕,192,,shǐ,7,pig,豚 豪 象,Y,动物-,mammal,Y,24,,
豸,193,,zhì,7,legless insect,豹 豺 貌,Y,动物-,mammal,Y,21,,
贝,194,貝,bèi,4,shell,贞 负 贡 责 财,Y,社会-,currency,Y,56,,
责,416,,zé,8,responsibility / duty / punish,,Y,,,,2,,
赤,195,,chì,7,red,赦 赫,Y,数理-颜色,,Y,9,,
